Codigo   Nome                                                                                                Classe
1        RESISTOR CARBONO                                                                                    5905
2        RESISTOR FILME METÁLICO                                                                             5905
3        RESISTOR FIO                                                                                        5905
4        DISJUNTOR BAIXA TENSÃO                                                                              5925
6        FITA CORRETIVA MÁQUINA ESCREVER                                                                     7510
7        FITA IMPRESSÃO MÁQUINA ESCREVER                                                                     7510
8        FITA IMPRESSÃO MÁQUINA CALCULAR                                                                     7510
11       CLIPE                                                                                               7510
12       LÁPIS PRETO                                                                                         7510
13       ÁCIDO BENZÓICO                                                                                      6810
15       LÁPIS BORRACHA                                                                                      7510
16       LÁPIS DE COR                                                                                        7510
17       MINA GRAFITE                                                                                        7510
18       CORRETIVO LÍQUIDO                                                                                   7510
19       CORRETIVO SECO                                                                                      7510
20       PASTA ARQUIVO                                                                                       7510
21       ETIQUETA ADESIVA                                                                                    7510
22       ALMOFADA CARIMBO                                                                                    7520
23       PAPEL IMPRESSÃO                                                                                     9310
24       RÉGUA ESCRITÓRIO                                                                                    7510
25       PAPEL ALMAÇO                                                                                        7510
26       PAPEL CARBONO                                                                                       7510
27       GRAMPEADOR                                                                                          7520
28       GRAMPO GRAMPEADOR                                                                                   7510
29       ESPIRAL ENCADERNAÇÃO                                                                                7510
30       PAPEL BOBINADO                                                                                      9310
31       GIZ QUADRO NEGRO                                                                                    7510
32       CINTA ELÁSTICA                                                                                      7510
33       COLCHETE FIXAÇÃO                                                                                    7510
34       PAPEL RECADO AUTO-ADESIVO                                                                           7510
36       DIVISÓRIA ARQUIVO                                                                                   7520
37       AGENDA                                                                                              7510
38       ALFINETE MAPA                                                                                       7510
41       PORTA-CARIMBO                                                                                       7520
42       APAGADOR QUADRO MAGNÉTICO                                                                           7520
43       APAGADOR QUADRO NEGRO                                                                               7520
44       BANDEJA DOCUMENTOS                                                                                  7520
45       ÁCIDO BÓRICO                                                                                        6810
46       APONTADOR LÁPIS                                                                                     7520
47       PORTA-LÁPIS/CLIPE/LEMBRETE                                                                          7520
48       PAPEL COUCHÊ                                                                                        9310
49       PAPEL VEGETAL                                                                                       9310
50       PAPEL VERGÊ                                                                                         9310
52       GUILHOTINA                                                                                          3610
53       ENVELOPE                                                                                            7510
54       TELHA AMIANTO                                                                                       5650
55       LENÇOL BORRACHA                                                                                     9320
56       PERFURADOR PAPEL                                                                                    7520
57       PERFURADORA PAPEL PARA ESPIRAL                                                                      7520
58       PLACA ACRÍLICA                                                                                      9390
59       CINZEIRO MESA                                                                                       9920
60       CAPA CLASSIFICADORA                                                                                 7510
61       ARQUIVO DISQUETE                                                                                    7520
64       PAPEL APERGAMINHADO                                                                                 9310
65       PAPEL SULFITE                                                                                       9310
66       BLOCO RASCUNHO                                                                                      7510
68       PAPEL ALTA ALVURA                                                                                   7510
69       BLOCO RECEITUÁRIO                                                                                   7540
70       BLOCO RECEITUÁRIO MÉDICO                                                                            7540
71       BLOCO FORMULÁRIO COMUNICAÇÃO INTERNA                                                                7540
72       POSTE CONCRETO DUPLO T                                                                              5680
73       BLOCO RECIBO COM CANHOTO                                                                            7540
74       PAPEL AUTO-ADESIVO                                                                                  7510
75       PAPEL CARTOLINA                                                                                     7540
76       BLOCO MEMORANDO                                                                                     7540
77       BLOCO LAUDO MÉDICO / TÉCNICO                                                                        7540
78       PAPEL MILIMETRADO                                                                                   7540
79       PAPEL FLIP CHART                                                                                    7540
80       BARBANTE ALGODÃO                                                                                    4020
81       CAIXA ARQUIVO                                                                                       7510
82       ESTÊNCIL                                                                                            7510
83       GARRA ENCADERNAÇÃO                                                                                  7520
84       CONJUNTO MULTIUSO ESCRITÓRIO                                                                        7520
85       ACETATO DE ETILA                                                                                    6810
86       PORTA-PAPEL                                                                                         7520
88       CAPA                                                                                                7510
90       FORMULÁRIO CONTÍNUO                                                                                 7540
91       LÁPIS VIDROGRÁFICO                                                                                  7510
92       LÁPIS CERA                                                                                          7510
93       EXTENSÃO PARAFUSO PASTA                                                                             7510
97       PORTA-CARTÃO                                                                                        7510
98       PORTA-ETIQUETA                                                                                      7510
