Codigo   Nome
19       Estudos e Projetos Viabilidade Técnico - Econômica  de  Aproveitamento Hidrelétrico                                     
27       Estudos e Projetos de Viabilidade Técnico - Econômica de Usinas Termoelétricas / Termonucleares                         
35       Estudos e Projetos de Viabilidade Técnico - Econômica de Unidades Industriais                                           
43       Estudos e Projetos Viabilidade Técnico - Econômica de  Recursos Naturais                                                
51       Estudos e Projetos Urbanísticos / Paisagísticos / Arquitetô-nicos                                                       
60       Estudos e Projetos de Assentamento Populacional                                                                         
78       Estudos e Projetos de Arquitetura                                                                                       
86       Estudos e Projetos de Meio Ambiente - Plano Diretor                                                                     
94       Estudos e Projetos de Meio Ambiente - Avaliação e Elaboração do Relatório de Impacto                                    
108      Estudos e Projetos de Meio Ambiente - Confiabilidade e Análise de Risco                                                 
116      Estudos e Projetos de Meio Ambiente Físico                                                                              
124      Estudos e Projetos de Meio Ambiente Biótico                                                                             
132      Estudos e Projetos de Meio Ambiente, Sócio-Econõmico, Cultural                                                          
140      Estudos e Projetos de Fundações Diretas e Profundas                                                                     
159      Estudos e Projetos de Cortes, Aterros e Escoramentos                                                                    
167      Estudos e Projetos de Rebaixamento de Lençol D´água (Estudos e Projetos)                                                
175      Estudos e Projetos de Estruturas -  Concreto Armado (Estudos e Projetos)                                                
183      Estudos e Projetos de Estruturas -  Concreto Protendido (Estudos e Projetos)                                            
191      Estudos e Projetos de Estruturas - Metálicas (Estudos e Projetos)                                                       
205      Estudos e Projetos de Recuperação e Reforço de Estruturas                                                               
213      Estudos e Projetos de Instalação Elétrica (Estudos e Projetos)                                                          
221      Estudos e Projetos de Instalação Hidro-Sanitária (Estudos e Projetos)                                                   
230      Estudos e Projetos de Instalação Telefônica (Estudos e Projetos)                                                        
248      Estudos e Projetos de Instalação de Gás -  Instalações  Pre-Diais / Industriais (Estudos e Projetos)                    
256      Estudos e Projetos de Instalação Eletrônica (Estudos e Projetos)                                                        
264      Estudos e Projetos - Instalações Prediais (Es               tudos e Projetos)                                           
272      Estudos e Projetos de Instalação de Som Ambiente (Estudos e Projetos)                                                   
280      Estudos e Projetos de Saneamento - Captação, Adução e Distribuição de Água                                              
299      Estudos e Projetos de Saneamento - Tratamento de Água                                                                   
302      Estudos e Projetos de Saneamento - Sistema de Esgoto Sanitário                                                          
310      Estudos e Projetos de Saneamento - Tratamento Despejo Sanitário                                                         
329      Estudos e Projetos de Saneamento - Tratamento Despejo  Industrial                                                       
337      Estudos e Projetos de Saneamento - Sistema de Drenagem Pluvial                                                          
345      Estudos e Projetos de Saneamento - Sistema de Drenagem Industrial                                                       
353      Estudos e Projetos de Tratamento de Rejeitos Radioativos                                                                
361      Estudos e Projetos de Geotecnia e Geologia                                                                              
370      Estudos e Projetos de Barragens e Diques                                                                                
388      Estudos e Projetos de Modelo Reduzido                                                                                   
396      Estudos e Projetos de Obras Marítimas                                                                                   
400      Estudos e Projetos de Hidrologia                                                                                        
418      Estudos e Projetos de Hidrografia e Oceanografia                                                                        
426      Estudos e Projetos de Meteorologia                                                                                      
434      Estudos e Projetos de Túneis (Estudos e Projetos)                                                                       
442      Estudos e Projetos de Rodovias (Estudos e Projetos)                                                                     
450      Estudos e Projetos de Ferrovias - Pátios e Terminais (Estudos e Projetos)                                               
469      Estudos e Projetos de Aeroportos (Estudos e Projetos)                                                                   
477      Ar Condicionado - Estudos e Projetos de Sistema (Estudos e Projetos)                                                    
485      Estudos e Projetos de Sistemas de Ventilação e Exaustão Mecânica (Estudos e Projetos)                                   
493      Estudos e Projetos de Sistemas de Aquecimento (Estudos e Projetos)                                                      
507      Estudos e Projetos de Sistemas de Refrigeração (Estudos e Projetos)                                                     
515      Estudos e Projetos de Sistemas de Tubulações Industriais (Estudos e Projetos)                                           
523      Estudos e Projetos de Sistemas de Proteção Contra Incêndio (Estudos e Projetos)                                         
531      Estudos e Projetos de Instrumentação e Controle (Estudos e Projetos)                                                    
566      Estudos e Projetos de Instalação de Linhas de Distribuição  Energia Elétrica (Estudos e Projetos)                       
574      Estudos e Projetos de Sistemas de Aterramento e Proteção Contra Descargás Atmosfericas                                  
582      Estudos e Projetos de Telecomunicações - Transmissão                                                                    
590      Estudos e Projetos de Comutação Telefônica                                                                              
604      Estudos e Projetos de Comutação Telegráfica                                                                             
612      Estudos e Projetos de Comunicação de Dados                                                                              
620      Estudos e Projetos de Redes de Telecomunicações (Estudos e Projetos)                                                    
639      Estudos e Projetos de Sistemas de Sinalização Ferroviária (Estudos e Projetos)                                          
647      Estudos e Projetos de Sistemas de Sinalização Marítima (Estudos e Projetos)                                             
655      Estudos e Projetos de Sistemas de Sinalização Rodoviária (Estudos e Projetos)                                           
663      Estudos e Projetos de Sistemas de Sinalização Aérea (Estudos e Projetos)                                                
671      Estudos e Projetos de Indústria Naval (Estudos e Projetos)                                                              
680      Auditoria em Área Contábil                                                                                              
698      Auditoria em Área Fiscal                                                                                                
701      Auditoria em Área Tributária                                                                                            
710      Auditoria em Área de Projetos                                                                                           
728      Auditoria em Área de Administração                                                                                      
736      Auditoria em Área de Processamento de Dados                                                                             
744      Consultoria e Assessoria - Organização e Métodos                                                                        
752      Consultoria e Assessoria - Econômico / Financeira                                                                       
760      Consultoria e Assessoria - Contábil                                                                                     
779      Consultoria e Assessoria - Fiscal                                                                                       
787      Consultoria e Assessoria - Tributária                                                                                   
795      Consultoria e Assessoria - Jurídica                                                                                     
809      Consultoria / Assessoria - Engenharia                                                                                   
817      Consultoria e Assessoria - Meio Ambiente                                                                                
825      Consultoria e Assessoria - Qualidade                                                                                    
841      Consultoria e Assessoria - Recursos Humanos                                                                             
850      Consultoria e Assessoria - Administração de Material                                                                    
868      Comissionamento                                                                                                         
876      Pericia , Laudo e Avaliação                                                                                             
884      Pesquisa de Mercado                                                                                                     
892      Propaganda e Publicidade                                                                                                
906      Seguro / Garantia                                                                                                       
914      Topografia de Faixas                                                                                                    
922      Topografia de Áreas                                                                                                     
930      Aerofotogrametria                                                                                                       
949      Sensoriamento Remoto                                                                                                    
957      Batimetria                                                                                                              
965      Sondagens Terrestres a Percussão / Rotativo                                                                             
973      Sondagens Terrestres Rotativas                                                                                          
981      Sondagens Subaquáticas                                                                                                  
990      Ensaio Geotécnico                                                                                                       
1007     Mapeamento Geológico                                                                                                    
1015     Pesquisa Mineral                                                                                                        
1023     Análise Dinâmica de Bases de Equipamentos                                                                               
1031     Manutenção / Análise Dinâmica de Estruturas                                                                             
1040     Sismologia                                                                                                              
1058     Controle Tecnológico de Concreto                                                                                        
1066     Controle Tecnológico de Pavimentação                                                                                    
1074     Controle Tecnológico de Materiais de Construção                                                                         
1082     Jateamento                                                                                                              
1090     Pintura Industrial                                                                                                      
1104     Galvanização                                                                                                            
1112     Metalização / Anodização                                                                                                
1120     Cromação                                                                                                                
1139     Proteção de Superfícies por Revestimento Polimérico                                                                     
1147     Proteção Catódica                                                                                                       
1155     Ensaios Radiográficos, Ultra - Som, Líquido Penetrante e Partículas Magnéticas                                          
1163     Ensaios Mecânicos                                                                                                       
1171     Ensaio e Análises Químicas                                                                                              
1180     Ensaios Elétricos                                                                                                       
1198     Ensaios Eletrônicos                                                                                                     
1201     Ensaios Metalúrgicos                                                                                                    
1210     Inspeções e Testes em Materiais e Equipamentos Elétricos                                                                
1228     Inspeções e Testes em Equipamentos Elétricos em Operação                                                                
1236     Prova de Carga                                                                                                          
1244     Desenvolvimento e Nacionalização de Produtos                                                                            
1252     Subaquático ( Mergulho )                                                                                                
1260     Informática - Manutenção/Instalação Sistemas/Periféricos                                                                
1279     Informática - Programas Fechados (Software)                                                                             
1287     Informática - Serviço de Bureau                                                                                         
1295     Informática - Administração e Operação em Processamento de  Dados                                                       
1309     Regeneração de Lubrificantes                                                                                            
1317     Regeneração de Óleo Isolante                                                                                            
1325     Recuperação de Óleo Isolante                                                                                            
1333     INCINERAçãO / ATERRAMENTO - RESíDUOS INDUSTRIAIS / LIXO ESPECIAL                                                        
1341     Supervisão / Gerenciamento / Fiscalização - Projeto Constru-ção / Obras Civis                                           
1350     Obras Civis de Parques e Praças                                                                                         
1368     Obras Civis de Reflorestamento                                                                                          
1376     Obras Civis Execução de Desmatamento                                                                                    
1384     Obras Civis de Terraplenagem                                                                                            
1392     Obras Civis de Pavimentação de Concreto                                                                                 
1406     Obras Civis de Pavimentação Asfáltica                                                                                   
1414     Obras Civis de Pavimentação Poliedrica                                                                                  
1422     Obras Civis de Pavimentação de Paralelepípedo                                                                           
1430     Obras Civis de Rebaixamento de Lençol D´água (Obras Civis)                                                              
1449     Obras Civis de Fundações Diretas                                                                                        
1457     Obras Civis de Fundações em Estacas de Concreto                                                                         
1465     Obras Civis de Fundações em Estacas Metálicas                                                                           
1473     Obras Civis de Fundações em Tubulões                                                                                    
1481     Obras Civis de Fundações Subaquáticas                                                                                   
1490     Obras Civis de Estruturas de Concreto Armado                                                                            
1503     Obras Civis de Estruturas de Concreto Protendido (Obras Civis)                                                          
1511     Obras Civis de Estruturas Metálicas (Obras Civis)                                                                       
1520     Obras Civis de Estruturas Pré-Moldadas                                                                                  
1538     Instalações Prediais Elétricas                                                                                          
1546     Instalações Prediais Hidro-Sanitárias                                                                                   
1554     Instalações Prediais Telefônicas                                                                                        
1562     Instalações Prediais de Gás ( Obras Civis ) (Obras Civis)                                                               
1570     Instalações Prediais Eletrônicas ( Obras Civis ) (Obras Civis)                                                          
1589     Instalações Prediais de Comunicação ( Obras Civis ) (Obras Civis)                                                       
1597     Obras Civis Instalações Prediais - Som Ambiente / Sistema Audiovisual (Obras Civis)                                     
1600     Obras Civis - Impermeabilização / Cristalização / Revestimento / Tratamento Especial                                    
1619     OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS                                                                                     
1627     Manutenção / Reforma Predial                                                                                            
1635     Obras Civis - Demolições                                                                                                
1643     Obras Civis de Recuperação Estrutural - Injeções em Trincas e Fissuras de Concreto                                      
1651     Obras Civis de Recuperação Estrutural - Tratamento e Proteção de Armaduras e Superficies de Concreto                    
1660     Obras Civis de Recuperação Estrutural - Concreto Projetado                                                              
1678     Obras Civis de Recuperação Estrutural - Estruturas Metálicas                                                            
1686     Obras Civis de Muros de Arrimo                                                                                          
1694     Obras Civis de Cortinas Atirantadas                                                                                     
1708     Obras Civis de Muros de Gabiões                                                                                         
1716     Obras Civis de Paredes Diafragma                                                                                        
1724     Injeções de Cimento (Obras Civis)                                                                                       
1732     Obras Civis de Atirantamento                                                                                            
1740     Hidrossemeadura (Obras Civis)                                                                                           
1759     Obras Civis de Pontes e Viadutos - Concreto                                                                             
1767     Obras Civis de Pontes e Viadutos - Metálicos                                                                            
1775     Obras Civis de Túneis (Obras Civis)                                                                                     
1783     Obras Civis de Rodovias / Estacionamento (Obras Civis)                                                                  
1791     Obras Civis de Ferrovias, Pátios e Terminais (Obras Civis)                                                              
1805     Obras Civis de Aeroportos (Obras Civis)                                                                                 
1813     Obras Civis - Execução de Obras Portuárias                                                                              
1821     Obras Civis de Barragens de Concreto ( Estrutural , Gravidade e Concreto Rolado )                                       
1830     Obras Civis - Barragens de Enrroçamento                                                                                 
1848     Obras Civis - Barragens de Terra                                                                                        
